OBJECTID,ELEVATION,HYDRANTID,FFW,LAT,LON
2150.00000,273.86982,LWRM 2962,2347.00000,35.5360190,-79.1099955
2151.00000,290.50466,LWRM 3100,2257.00000,35.5363385,-79.1051311
2152.00000,288.41185,LWRM 3294,2257.00000,35.5387244,-79.0993018
2153.00000,288.08107,LWRM 3310,2264.00000,35.5392367,-79.0986981
2154.00000,258.16436,LWRM 3498,2424.00000,35.5429428,-79.0941756
2155.00000,234.03455,LWRM 3682,2542.00000,35.5477380,-79.0909485
2156.00000,221.00067,LWRM 3800,2604.00000,35.5505280,-79.0893410
2157.00000,200.64096,LWRM 6337,2618.00000,35.6123752,-79.0935922
2158.00000,284.26107,EFOK 640,2160.00000,35.6082658,-79.1053025
2159.00000,235.82612,EFOK 288,2500.00000,35.6071239,-79.0977267
2160.00000,205.41379,LWRM 5943,2618.00000,35.6074139,-79.0928261
2161.00000,229.73695,PPSC 7669,2576.00000,35.5353415,-79.0428895
2162.00000,210.76197,AVFY 6634,2694.00000,35.5362089,-79.0358238
2163.00000,191.08928,AVFY 6952,2764.00000,35.5407981,-79.0328583
2164.00000,168.74493,AVFY 7362,2896.00000,35.5431727,-79.0313955
2165.00000,172.04019,AVFY 7490,2917.00000,35.5452831,-79.0289760
2166.00000,170.69588,AVFY 7494,2910.00000,35.5471940,-79.0266581
2167.00000,213.06751,AVFY 6346,2694.00000,35.5351616,-79.0398920
2168.00000,340.79827,AVFY 4271,1729.00000,35.5060855,-79.0507915
2169.00000,390.61302,HLCF 8304,2590.00000,35.5045267,-79.0500342
2170.00000,425.81325,AVFY 1065,2090.00000,35.4750982,-79.0852750
2171.00000,416.70331,AVFY 763,2153.00000,35.4738404,-79.0868178
2172.00000,425.55377,AVFY 553,2076.00000,35.4711981,-79.0917810
2173.00000,435.68737,AVFY 435,1986.00000,35.4699300,-79.0938675
2174.00000,431.08871,AVFY 221,2049.00000,35.4677155,-79.0949010
2175.00000,430.26857,BDWY 1900,1993.00000,35.4637365,-79.0941564
2176.00000,408.40425,BDWY 1949,2069.00000,35.4644079,-79.0905148
2177.00000,422.36708,BDWY 2212,2035.00000,35.4649940,-79.0876391
2178.00000,407.79415,BDWY 2304,2132.00000,35.4652350,-79.0854058
2179.00000,410.55898,BDWY 2514,2083.00000,35.4651896,-79.0807922
2180.00000,400.40136,BDWY 2632,2167.00000,35.4646493,-79.0780188
2181.00000,461.81494,DXFM 43,1424.00000,35.4627916,-79.0720396
2182.00000,422.50475,JNRS 1754,1757.00000,35.4578797,-79.0727523
2183.00000,416.18637,JNRS 1002,1854.00000,35.4545028,-79.0836860
2184.00000,363.69881,JNRS 698,2396.00000,35.4502875,-79.0881484
2185.00000,368.09040,JNRS 362,2181.00000,35.4502484,-79.0949101
2186.00000,393.67332,CXML 2766,2049.00000,35.4493275,-79.0991447
2187.00000,398.07339,CNTY 305,1993.00000,35.4455851,-79.0946587
2188.00000,381.06255,CNTY 677,2139.00000,35.4414771,-79.0900469
2189.00000,399.48669,CXML 3282,1958.00000,35.4439031,-79.0989364
2190.00000,368.46801,PPRM 193,2132.00000,35.4382285,-79.0850771
2191.00000,359.91615,PPRM 420,2139.00000,35.4348230,-79.0820167
2192.00000,313.79271,PPRM 670,2500.00000,35.4308914,-79.0799901
2193.00000,330.98742,PPRM 1132,2361.00000,35.4322659,-79.0737241
2194.00000,358.42968,PPRM 1395,2167.00000,35.4342941,-79.0690457
2195.00000,366.37468,NT,2104.00000,35.4282260,-79.0693158
2196.00000,364.81030,NT,3674.00000,35.4233845,-79.0679330
2197.00000,379.61657,NT,2049.00000,35.4430709,-79.0632966
2198.00000,365.77223,DXFM 1559,2132.00000,35.4443678,-79.0684768
2199.00000,389.96659,DXFM 1151,1972.00000,35.4469728,-79.0741716
2200.00000,403.54847,DXFM 773,1882.00000,35.4517344,-79.0731702
2201.00000,422.16425,DXFM 387,1771.00000,35.4577539,-79.0716527
2202.00000,366.84366,KLLY 1976,2319.00000,35.4856812,-79.1318623
2203.00000,311.23931,PGST 368,2688.00000,35.4877151,-79.1282159
2204.00000,296.44926,SNLE 1593,2750.00000,35.4928669,-79.1304864
2205.00000,330.67243,SNLE 1411,2597.00000,35.4916515,-79.1367879
2206.00000,259.29357,SNLE 1981,2938.00000,35.4907440,-79.1238530
2207.00000,316.95984,SNLE 2353,2688.00000,35.4935038,-79.1195541
2208.00000,357.93503,SNLE 2767,2500.00000,35.4963545,-79.1146109
2209.00000,377.67877,NT,2361.00000,35.4940838,-79.1100033
2210.00000,336.49722,PPSC 2554,2569.00000,35.5017200,-79.1086284
2211.00000,330.12396,58-8,2104.00000,35.5072772,-79.1080551
2212.00000,237.01496,LKCK 516,2556.00000,35.5093632,-79.1174801
2213.00000,230.02458,NT,2583.00000,35.5089954,-79.1228022
2214.00000,235.55142,58-7,2562.00000,35.5076331,-79.1233964
2215.00000,257.50139,NT,2507.00000,35.5069100,-79.1247150
2216.00000,294.51166,NT,2326.00000,35.5073615,-79.1262931
2217.00000,306.29514,NT,2208.00000,35.5081159,-79.1275076
2218.00000,301.79013,LWRM 1642,2229.00000,35.5103175,-79.1255467
2219.00000,298.89022,LWRM 1740,2250.00000,35.5106868,-79.1252092
2220.00000,281.83821,NT,2389.00000,35.5087603,-79.1248643
2221.00000,403.85961,LWRM 534,1562.00000,35.4911606,-79.1565129
2222.00000,367.36897,LWRM 710,1847.00000,35.4950501,-79.1526581
2223.00000,333.95083,LWRM 762,2056.00000,35.4973173,-79.1501582
2224.00000,337.60913,LWRM 858,2000.00000,35.4981078,-79.1473419
2225.00000,336.08090,LWRM 1040,2049.00000,35.4985987,-79.1414420
2226.00000,347.88288,LWRM 1146,1965.00000,35.4994203,-79.1381908
2227.00000,317.50158,LWRM 1238,2062.00000,35.5008334,-79.1348045
2228.00000,306.26943,LWRM 1332,2125.00000,35.5035198,-79.1338310
2229.00000,302.32467,LWRM 1446,2250.00000,35.5044917,-79.1312196
