DEMAND,HEAD,PRESSURE,LAT,LON
0.000,511.23,70.51,35.4671330,-79.2076760
0.001,511.22,63.48,35.4671726,-79.2120957
0.001,511.22,63.43,35.4670121,-79.2119730
0.001,511.21,64.78,35.4662818,-79.2099947
0.001,511.21,63.17,35.4673307,-79.2094263
0.000,511.21,65.37,35.4661973,-79.2098487
0.002,511.21,64.69,35.4661904,-79.2100780
0.003,511.21,68.30,35.4656683,-79.2135781
0.001,511.21,68.54,35.4656609,-79.2134026
0.001,511.23,67.21,35.4672744,-79.2063433
0.000,511.23,65.62,35.4673201,-79.2065169
0.000,511.23,67.33,35.4672048,-79.2063712
0.000,511.23,70.32,35.4666600,-79.2065643
0.002,511.38,56.65,35.4557975,-79.1946483
0.001,511.38,57.58,35.4565442,-79.1956274
0.001,511.38,60.32,35.4553019,-79.1959084
0.003,511.38,68.60,35.4558677,-79.1972462
0.000,511.38,56.62,35.4558391,-79.1946079
0.000,511.29,90.64,35.4663487,-79.2001859
0.000,511.29,92.50,35.4664672,-79.2000836
0.000,511.31,76.04,35.4648481,-79.1976525
0.000,511.31,75.94,35.4647976,-79.1975682
0.000,511.31,73.87,35.4649653,-79.1975420
0.000,511.34,63.29,35.4633958,-79.1953467
0.000,511.35,66.95,35.4624501,-79.1945286
0.000,511.34,61.66,35.4634969,-79.1952343
0.000,511.40,77.45,35.4610627,-79.1954619
0.006,511.40,78.29,35.4609309,-79.1958074
0.000,511.40,76.30,35.4611955,-79.1951135
0.000,511.40,75.37,35.4612300,-79.1951323
0.000,511.40,78.43,35.4615019,-79.1952963
0.000,511.32,65.75,35.4640855,-79.1963787
0.000,511.28,76.05,35.4633022,-79.1975248
0.000,511.28,76.30,35.4632856,-79.1975830
0.000,511.28,75.16,35.4631423,-79.1974501
0.000,511.29,73.27,35.4633680,-79.1972934
0.000,511.32,65.50,35.4639477,-79.1965063
0.000,511.32,64.21,35.4638487,-79.1963613
0.000,511.25,82.95,35.4628776,-79.1982487
0.000,511.25,83.26,35.4628221,-79.1982902
0.000,511.25,82.31,35.4627916,-79.1981055
0.000,511.25,83.44,35.4617860,-79.1982483
0.002,511.25,83.24,35.4617047,-79.1983883
0.002,511.25,82.90,35.4623572,-79.1978293
0.001,511.25,82.94,35.4622483,-79.1977333
0.000,511.23,84.88,35.4637493,-79.1988824
0.000,511.23,85.10,35.4638921,-79.1989422
0.002,511.24,85.00,35.4630102,-79.1988282
0.001,511.23,85.11,35.4634927,-79.1990475
0.001,511.24,83.89,35.4632158,-79.1986432
0.001,511.24,83.05,35.4631069,-79.1985267
0.001,511.22,84.91,35.4644596,-79.1990769
0.000,511.22,83.49,35.4654123,-79.1987904
0.001,511.22,87.91,35.4650676,-79.1994862
0.002,511.22,87.96,35.4651860,-79.1994253
0.001,511.22,89.39,35.4654515,-79.2001927
0.001,511.22,89.22,35.4654868,-79.2001617
0.001,511.22,89.45,35.4658275,-79.1999016
0.001,511.22,89.20,35.4654263,-79.2002069
0.002,511.22,88.57,35.4649265,-79.2002436
0.001,511.22,88.13,35.4650986,-79.1995338
0.001,511.22,87.23,35.4643303,-79.1993733
0.000,511.22,85.46,35.4644259,-79.1991384
0.001,511.22,87.68,35.4642995,-79.1994624
0.000,511.22,87.34,35.4640895,-79.1996571
0.001,511.22,84.47,35.4641713,-79.1988177
0.002,511.22,83.83,35.4648928,-79.1986999
0.000,511.22,83.48,35.4649723,-79.1985981
0.001,511.22,82.42,35.4645127,-79.1982714
0.001,511.22,82.01,35.4645049,-79.1981513
0.001,511.22,84.32,35.4641840,-79.1987944
0.003,511.23,84.62,35.4636919,-79.1990701
0.001,511.24,84.99,35.4634713,-79.1989618
0.000,511.24,84.69,35.4630629,-79.1987808
0.001,511.25,83.69,35.4628366,-79.1983899
0.000,511.25,83.15,35.4627802,-79.1982213
0.000,511.25,82.32,35.4629695,-79.1981799
0.000,511.27,76.90,35.4632600,-79.1976731
0.000,511.28,76.57,35.4633472,-79.1976082
0.000,511.28,70.98,35.4640654,-79.1972745
0.000,511.25,83.52,35.4623017,-79.1979251
0.002,511.25,83.85,35.4619466,-79.1983942
0.000,511.29,72.45,35.4633031,-79.1972650
0.000,511.32,66.03,35.4640378,-79.1964229
0.003,499.89,40.75,35.4742005,-79.2357058
0.000,500.42,40.89,35.4753475,-79.2352977
0.000,499.89,41.27,35.4741499,-79.2355355
0.000,498.14,43.57,35.4704261,-79.2383978
0.000,498.14,43.04,35.4703949,-79.2383569
0.001,498.18,43.03,35.4704583,-79.2382729
0.000,498.14,44.07,35.4704233,-79.2385454
0.000,498.14,44.41,35.4704484,-79.2385734
0.000,498.12,43.45,35.4696809,-79.2401553
0.000,498.12,43.45,35.4697143,-79.2401707
0.000,498.10,46.04,35.4689896,-79.2427357
0.000,498.10,46.04,35.4690241,-79.2427477
0.000,498.07,51.23,35.4683496,-79.2452129
0.000,498.07,51.54,35.4684893,-79.2452703
0.000,498.07,51.23,35.4683362,-79.2452656
0.000,498.05,53.06,35.4678393,-79.2470350
0.000,511.37,47.82,35.4711452,-79.2216261
0.000,511.37,48.37,35.4711408,-79.2217118
0.000,511.37,47.82,35.4710519,-79.2216259
0.000,511.37,47.75,35.4711511,-79.2212179
0.000,511.37,48.86,35.4710109,-79.2212273
0.000,511.36,49.95,35.4707415,-79.2195368
0.000,511.36,49.95,35.4705998,-79.2196116
0.000,511.36,53.95,35.4697885,-79.2176363
0.000,511.36,54.44,35.4696425,-79.2176979
0.000,511.35,55.92,35.4694611,-79.2156849
0.000,511.35,55.13,35.4693125,-79.2157119
0.000,511.35,56.85,35.4694233,-79.2153808
0.000,511.35,58.29,35.4693523,-79.2148246
0.000,511.35,58.29,35.4693844,-79.2148194
0.000,511.35,58.56,35.4694771,-79.2148042
0.000,511.35,57.04,35.4694132,-79.2152995
0.000,511.35,56.90,35.4693728,-79.2153057
0.000,511.35,54.41,35.4688404,-79.2151430
0.007,511.34,54.21,35.4683772,-79.2147087
0.000,511.35,54.38,35.4687837,-79.2152333
0.000,511.37,47.46,35.4711499,-79.2215357
0.000,511.37,47.62,35.4712077,-79.2215721
0.001,511.37,44.42,35.4721112,-79.2205265
0.000,511.37,43.91,35.4721925,-79.2204468
0.000,511.37,44.70,35.4722112,-79.2206558
0.000,511.37,43.38,35.4722616,-79.2203761
0.001,511.37,43.49,35.4723347,-79.2203011
0.000,511.41,54.41,35.4795406,-79.2205696
0.000,511.41,55.28,35.4795439,-79.2207264
0.001,511.40,52.67,35.4782501,-79.2208223
0.001,511.40,52.67,35.4781837,-79.2208364
0.001,511.40,52.92,35.4781958,-79.2205706
0.001,511.40,52.94,35.4783270,-79.2205385
0.000,511.40,52.67,35.4782165,-79.2206663
0.000,511.39,50.93,35.4763279,-79.2212167
0.001,511.39,50.93,35.4764023,-79.2212008
0.000,511.39,51.20,35.4764020,-79.2213570
0.000,511.39,51.65,35.4765414,-79.2213594
0.000,511.39,50.93,35.4764022,-79.2212880
0.000,511.38,49.58,35.4748343,-79.2213176
0.001,511.38,49.78,35.4749001,-79.2213237
0.000,511.38,47.21,35.4734404,-79.2209997
0.000,511.38,47.89,35.4733952,-79.2211662
0.000,511.37,43.77,35.4722475,-79.2204726
0.001,511.38,53.09,35.4749722,-79.2194963
0.000,511.38,53.08,35.4748278,-79.2194814
0.001,511.38,43.99,35.4750325,-79.2181139
0.001,511.38,43.56,35.4748814,-79.2181111
0.000,511.38,64.58,35.4776957,-79.2182377
0.000,511.38,69.78,35.4781866,-79.2180955
0.001,511.38,57.71,35.4764490,-79.2185875
0.001,511.38,59.80,35.4765647,-79.2195372
0.001,511.38,66.31,35.4774450,-79.2170521
0.001,511.38,63.50,35.4775185,-79.2182874
0.000,511.38,56.59,35.4764373,-79.2184955
0.001,511.38,66.09,35.4777319,-79.2184065
0.000,511.38,67.16,35.4778670,-79.2183706
0.002,511.38,55.80,35.4764249,-79.2183982
0.000,511.38,56.01,35.4765547,-79.2183707
0.002,511.41,65.25,35.4805328,-79.2166932
0.001,511.42,58.47,35.4809381,-79.2191767
0.000,511.41,65.34,35.4806798,-79.2166560
0.001,511.40,70.76,35.4802663,-79.2147587
0.001,511.40,70.26,35.4801475,-79.2147696
0.001,511.40,71.33,35.4801435,-79.2146033
0.000,511.40,70.39,35.4801932,-79.2147654
0.002,511.40,70.99,35.4781321,-79.2156687
0.000,511.40,71.31,35.4781255,-79.2155983
0.004,511.40,71.49,35.4781171,-79.2155073
0.000,511.40,71.93,35.4782567,-79.2154935
0.001,511.40,63.99,35.4773181,-79.2159993
0.001,511.37,60.26,35.4763564,-79.2236352
0.002,511.35,69.21,35.4776332,-79.2254228
