OBJECTID,ELEVATION,TRAVEL,LON,LAT
166.00000,383.37303,33.62000,-79.2273887,35.4897810
167.00000,377.11926,33.62000,-79.2281199,35.4905443
168.00000,373.78904,33.33000,-79.2288516,35.4912542
169.00000,340.05749,28.60000,-79.2308634,35.4980434
170.00000,324.49632,28.60000,-79.2331680,35.4982017
171.00000,328.11140,36.24000,-79.2362504,35.4984370
172.00000,370.31674,31.10000,-79.2283536,35.4951388
173.00000,384.87429,32.71000,-79.2284948,35.4922512
174.00000,367.76824,33.37000,-79.2299106,35.4919907
175.00000,368.71430,34.24000,-79.2312272,35.4923836
176.00000,353.29056,34.86000,-79.2315904,35.4918423
177.00000,346.98301,36.79000,-79.2327130,35.4921940
178.00000,323.01247,36.24000,-79.2345175,35.4923584
179.00000,331.56821,36.40000,-79.2363025,35.4909287
180.00000,347.15319,40.08000,-79.2352234,35.4904560
181.00000,359.64888,40.11000,-79.2348417,35.4898758
182.00000,356.94871,40.77000,-79.2336927,35.4899009
183.00000,348.82775,40.77000,-79.2333732,35.4904303
184.00000,360.85470,40.40000,-79.2313872,35.4902378
185.00000,365.05127,49.00000,-79.2301858,35.4899792
186.00000,366.06530,49.00000,-79.2290182,35.4894275
187.00000,381.94548,33.62000,-79.2281344,35.4898798
188.00000,380.57425,49.26000,-79.2283440,35.4891591
189.00000,365.88385,49.00000,-79.2301508,35.4890828
190.00000,352.58045,48.37000,-79.2321464,35.4893244
191.00000,346.96733,47.97000,-79.2337325,35.4887117
192.00000,342.94668,47.51000,-79.2356933,35.4887546
193.00000,360.69117,39.04000,-79.2057506,35.4684818
194.00000,372.22560,39.07000,-79.2072758,35.4686530
195.00000,373.86097,43.48000,-79.2089468,35.4690248
196.00000,344.58415,111.24000,-79.2085606,35.4714081
197.00000,332.91200,32.00000,-79.2089213,35.4734201
198.00000,339.21341,41.95000,-79.2112922,35.4730977
199.00000,343.09417,47.52000,-79.2103471,35.4717411
200.00000,348.92589,37.83000,-79.2140032,35.4717897
201.00000,366.16777,36.61000,-79.2144803,35.4707525
202.00000,380.68093,37.37000,-79.2119121,35.4691911
203.00000,370.37683,40.48000,-79.2103495,35.4689442
204.00000,366.36578,32.19000,-79.2102515,35.4700323
205.00000,332.50487,39.28000,-79.2074109,35.4739365
206.00000,323.45847,98.47000,-79.2057727,35.4749553
207.00000,325.75324,96.44000,-79.2054575,35.4735469
208.00000,342.66180,44.04000,-79.2076708,35.4723659
209.00000,350.08986,41.99000,-79.2040301,35.4712382
210.00000,323.94736,40.51000,-79.2019192,35.4731115
211.00000,330.65027,28.72000,-79.2026813,35.4715624
212.00000,341.51694,42.18000,-79.2057564,35.4717157
213.00000,492.68644,112.20000,-79.2157019,35.4433104
214.00000,477.68689,72.43000,-79.2167340,35.4461716
215.00000,476.50947,59.79000,-79.2153496,35.4486987
216.00000,459.22059,58.51000,-79.2146702,35.4510998
217.00000,448.94507,59.52000,-79.2140576,35.4522958
